headline,rank,scraped_at,source,topic_name
US carrier bolsters NATO to counter Russia as tensions reach fever pitch ,19,2022-02-03 08:00:32.072048+00:00,cnn,Russia Ukraine Putin Russian
CNN gets look on board aircraft carrier in Europe amid Russia tensions,13,2022-02-03 08:00:32.072048+00:00,cnn,Russia Ukraine Putin Russian
Biden signs bill awarding Congressional Gold Medal to WWII's 'Ghost Army',22,2022-02-02 08:00:36.177148+00:00,cnn,Russia Ukraine Putin Russian
"Analysis: As relations deteriorate with the West, Putin and Xi are getting closer",17,2022-02-02 08:00:36.177148+00:00,cnn,Russia Ukraine Putin Russian
"Russian troops are massed 20 miles away, but these Ukrainian troops aren't alarmed",18,2022-02-02 08:00:36.177148+00:00,cnn,Russia Ukraine Putin Russian
Opinion: Why Germany is so vulnerable to Russian blackmail,18,2022-01-31 08:00:41.844519+00:00,cnn,Russia Ukraine Putin Russian
'Saturday Night Live' reviews Russian disinformation in Ukraine with its Joe Biden,10,2022-01-30 08:00:43.766930+00:00,cnn,Russia Ukraine Putin Russian
Watch: Russians back off after Irish fishermen vow to disrupt war games,9,2022-01-30 08:00:43.766930+00:00,cnn,Russia Ukraine Putin Russian
Acosta: GOP senator appears to be aligning with pro-Russian movement,14,2022-02-05 18:01:16.943670+00:00,cnn,Russia Ukraine Putin Russian
Lawmaker says tip line is reminiscent of authoritarian regimes,14,2022-01-29 08:00:28.307660+00:00,cnn,Russia Ukraine Putin Russian
Biden says he'll move troops to Eastern Europe as top general warns of 'horrific' outcome if Russia invades ,7,2022-01-29 08:00:28.307660+00:00,cnn,Russia Ukraine Putin Russian
Analysis: US leaders struggle with Putin's Ukraine puzzle ,9,2022-02-04 08:00:30.624802+00:00,cnn,Russia Ukraine Putin Russian
Trump team announces $122M war chest,5,2022-02-01 08:00:35.118330+00:00,cnn,Russia Ukraine Putin Russian
Russian state media gets cold shoulder from civilians amid Ukraine tensions,18,2022-02-01 08:00:35.118330+00:00,cnn,Russia Ukraine Putin Russian
Analysis: Will Putin turn the Second Cold War into a hot one?,15,2022-02-01 08:00:35.118330+00:00,cnn,Russia Ukraine Putin Russian
"U.S. Orders 3,000 Troops to Bolster Allies in Russia-Ukraine Crisis",3,2022-02-03 08:00:08.683523+00:00,wsj,Russia Ukraine Putin Russian
U.S. Moving to Address TikTok Security Risk,10,2022-02-03 08:00:08.683523+00:00,wsj,Russia Ukraine Putin Russian
Putin Says West Failed to Address His Demands in Ukraine Standoff,5,2022-02-02 08:00:07.413115+00:00,wsj,Russia Ukraine Putin Russian
Russia Confronts Ukraine With Upgraded Military Rebuilt After Soviet Collapse,4,2022-02-02 08:00:07.413115+00:00,wsj,Russia Ukraine Putin Russian
"In Eastern Ukraine’s Largest City, Pro-Russia Sympathies Wither",7,2022-01-31 08:00:08.487020+00:00,wsj,Russia Ukraine Putin Russian
U.A.E. Shoots Down Missile Fired by Yemen’s Houthis During Israeli Visit,22,2022-01-31 08:00:08.487020+00:00,wsj,Russia Ukraine Putin Russian
Ukraine’s ‘Weekend Army’ Trains as Last Defense Against Russia,6,2022-01-30 08:00:09.265805+00:00,wsj,Russia Ukraine Putin Russian
"North Korea Fires Medium-Range Missile, Its Most Powerful Test in Years",23,2022-01-30 08:00:09.265805+00:00,wsj,Russia Ukraine Putin Russian
"Israel, U.A.E. Draw Closer on Security Amid Threat From Iran, Its Allies",26,2022-02-05 10:01:29.342228+00:00,wsj,Russia Ukraine Putin Russian
"Israel, U.A.E. Draw Closer on Security Amid Threat From Iran, Its Allies",26,2022-02-05 18:01:00.767802+00:00,wsj,Russia Ukraine Putin Russian
"Biden’s Sanctions Plan Targets Russian Banks, Imports",7,2022-01-29 08:00:07.285758+00:00,wsj,Russia Ukraine Putin Russian
U.S. Sees Iran’s Nuclear Program as Too Advanced to Restore Key Goal,23,2022-02-04 08:00:08.013706+00:00,wsj,Russia Ukraine Putin Russian
U.S. Says Russia Plans to Fabricate a Pretext for Invasion of Ukraine,6,2022-02-04 08:00:08.013706+00:00,wsj,Russia Ukraine Putin Russian
What Are Hypersonic Missiles and Who’s Developing Them?,7,2022-02-01 08:00:07.412288+00:00,wsj,Russia Ukraine Putin Russian
"U.S., Russia Square Off in U.N. Security Council Debate",1,2022-02-01 08:00:07.412288+00:00,wsj,Russia Ukraine Putin Russian
Biden admin ADMITS leaked written responses to Russia are real,17,2022-02-03 08:01:11.151112+00:00,foxnews,Russia Ukraine Putin Russian
Biden faces criticism on Russia-Ukraine conflict due to botched Afghanistan withdrawal,6,2022-02-03 08:01:11.151112+00:00,foxnews,Russia Ukraine Putin Russian
"Russia-Ukraine: Erdogan aims to mediate between Kyiv, Moscow: LIVE UPDATES",23,2022-02-03 08:01:11.151112+00:00,foxnews,Russia Ukraine Putin Russian
Putin takes dead aim at US and NATO in first comments on escalating tensions in Ukraine,17,2022-02-02 08:01:13.249841+00:00,foxnews,Russia Ukraine Putin Russian
Russia-Ukraine: Putin says West trying to lure Russia into war: LIVE UPDATES,18,2022-02-02 08:01:13.249841+00:00,foxnews,Russia Ukraine Putin Russian
Americans may see further price increases if Russia invades Ukraine,21,2022-02-02 08:01:13.249841+00:00,foxnews,Russia Ukraine Putin Russian
Sen. Cotton: Russia invasion would send 'signal to bad guys around the world',12,2022-01-31 08:01:29.524021+00:00,foxnews,Russia Ukraine Putin Russian
Mayor of Kyiv tells Kilmeade his prediction on conflict,7,2022-01-30 08:01:24.878073+00:00,foxnews,Russia Ukraine Putin Russian
LIVE UPDATES: Britain considering major NATO deployment amid Ukraine crisis,29,2022-01-30 08:01:24.878073+00:00,foxnews,Russia Ukraine Putin Russian
Top cyber expert's grim warning about what may happen if US sanctions Russia,30,2022-01-30 08:01:24.878073+00:00,foxnews,Russia Ukraine Putin Russian
Rep. Turner: Anything Putin says about Ukraine is false,13,2022-01-30 08:01:24.878073+00:00,foxnews,Russia Ukraine Putin Russian
NATO needs to be united amid Russia-Ukraine tension: Rep. Smith,6,2022-02-05 10:01:31.474957+00:00,foxnews,Russia Ukraine Putin Russian
"Sen. Dan Sullivan: Russia, China leading ‘new era of authoritarian aggression’",7,2022-02-05 10:01:31.474957+00:00,foxnews,Russia Ukraine Putin Russian
US troops in ‘absolute danger’ amid Russia-Ukraine tensions: Lt. Col. Davis,8,2022-02-05 10:01:31.474957+00:00,foxnews,Russia Ukraine Putin Russian
"First US forces arrive in Europe, Russia poised to launch potential invasion of Ukraine",9,2022-02-05 10:01:31.474957+00:00,foxnews,Russia Ukraine Putin Russian
TUCKER CARLSON: Biden's Ukraine policies reveal how grotesque Washington's priorities are,18,2022-02-05 10:01:31.474957+00:00,foxnews,Russia Ukraine Putin Russian
"
Biden admin predicts how long it will take for Kyiv to fall once Russia invades Ukraine, potential death toll",0,2022-02-05 18:01:02.719547+00:00,foxnews,Russia Ukraine Putin Russian
"
National security expert 'skeptical' of Russian invasion intel",9,2022-02-05 18:01:02.719547+00:00,foxnews,Russia Ukraine Putin Russian
NATO needs to be united amid Russia-Ukraine tension: Rep. Smith,14,2022-02-05 18:01:02.719547+00:00,foxnews,Russia Ukraine Putin Russian
Biden admin lifts sanctions on some of Iran's nuclear activities,21,2022-02-05 18:01:02.719547+00:00,foxnews,Russia Ukraine Putin Russian
"TUCKER CARLSON: The media thinks we, and the president of Ukraine, are agents of Russia",28,2022-01-29 08:01:15.779367+00:00,foxnews,Russia Ukraine Putin Russian
Biden signals plans for US troops as Russia boosts military around Ukraine,16,2022-01-29 08:01:15.779367+00:00,foxnews,Russia Ukraine Putin Russian
LIVE UPDATES: Russia-Ukraine: Biden sending troops to E. Europe soon as situation intensifies,20,2022-01-29 08:01:15.779367+00:00,foxnews,Russia Ukraine Putin Russian
Stu Scheller speaks out on Ukraine-Russia tensions,9,2022-01-29 08:01:15.779367+00:00,foxnews,Russia Ukraine Putin Russian
Gen. Milley says if forces were unleashed on Ukraine it would be ‘horrific’ and ‘not neccesary’,5,2022-01-29 08:01:15.779367+00:00,foxnews,Russia Ukraine Putin Russian
"Russia about to get 'very graphic' to justify Ukraine invasion, Pentagon warns",17,2022-02-04 08:01:33.795075+00:00,foxnews,Russia Ukraine Putin Russian
Kaep thought he could go to an NBA game in peace... he thought wrong,4,2022-02-04 08:01:33.795075+00:00,foxnews,Russia Ukraine Putin Russian
AP reporter spars with State Department's Ned Price over allegation on Russia: 'This is Alex Jones territory',25,2022-02-04 08:01:33.795075+00:00,foxnews,Russia Ukraine Putin Russian
EXCLUSIVE: War Power Caucus leader demands Biden get congressional approval before military action against Russia,24,2022-02-04 08:01:33.795075+00:00,foxnews,Russia Ukraine Putin Russian
Russia-Ukraine: Moscow responds to Pentagon warning of false flag: LIVE UPDATES,18,2022-02-04 08:01:33.795075+00:00,foxnews,Russia Ukraine Putin Russian
Top US diplomat in Ukraine performing several balancing acts at once,16,2022-02-01 08:01:13.779813+00:00,foxnews,Russia Ukraine Putin Russian
